iter	RMSE
0	14.59689611
1	14.2319266
2	13.86677259
3	13.5194449
4	13.18647556
5	12.88767435
6	12.59826323
7	12.32611289
8	12.02446886
9	11.73921915
10	11.47404303
11	11.20527811
12	10.96369772
13	10.72597013
14	10.49188732
15	10.27775299
16	10.05964876
17	9.83973887
18	9.636075889
19	9.442769964
20	9.264143063
21	9.105541764
22	8.944053535
23	8.783844113
24	8.639110348
25	8.49905862
26	8.365472644
27	8.261065441
28	8.128986717
29	8.004278923
30	7.890358653
31	7.783164831
32	7.677634617
33	7.582162848
34	7.473912769
35	7.374364101
36	7.276080495
37	7.190642068
38	7.103991172
39	7.015808513
40	6.943102292
41	6.872521548
42	6.801748014
43	6.743519425
44	6.679337409
45	6.622889335
46	6.561761856
47	6.503504523
48	6.443980689
49	6.390499013
50	6.34121417
51	6.295701757
52	6.252709864
53	6.206479515
54	6.163500335
55	6.127525526
56	6.091562905
57	6.058670765
58	6.020072598
59	5.988573582
60	5.953860118
61	5.92450554
62	5.892946918
63	5.857781121
64	5.829631679
65	5.801640345
66	5.772808534
67	5.747239253
68	5.729327486
69	5.703786806
70	5.682819056
71	5.65999846
72	5.639767574
73	5.619474116
74	5.599016568
75	5.578760995
76	5.559778947
77	5.541472772
78	5.526733497
79	5.508706312
80	5.491390093
81	5.479082193
82	5.461904067
83	5.446650156
84	5.431085507
85	5.41829094
86	5.405504684
87	5.388545263
88	5.381283957
89	5.368883568
90	5.357498865
91	5.345186358
92	5.334214482
93	5.325697026
94	5.317352107
95	5.310988761
96	5.302719882
97	5.293204629
98	5.283926846
99	5.270570537
100	5.262977827
101	5.255348367
102	5.248585453
103	5.237096907
104	5.226543237
105	5.219427373
106	5.209955801
107	5.202505145
108	5.197390578
109	5.187976824
110	5.178359473
111	5.17162362
112	5.164472093
113	5.156091778
114	5.15110924
115	5.149143473
116	5.145410474
117	5.139409275
118	5.134455521
119	5.129550191
120	5.120657302
121	5.119074411
122	5.112211923
123	5.104684232
124	5.100481365
125	5.093951209
126	5.087235204
127	5.082558387
128	5.078462835
129	5.073623112
130	5.068137612
131	5.062044436
132	5.058773074
133	5.051480575
134	5.047671427
135	5.042859148
136	5.037599947
137	5.030599094
138	5.022823256
139	5.015101531
140	5.007611482
141	5.003490806
142	4.999499349
143	4.992102819
144	4.985856678
145	4.980250613
146	4.977221928
147	4.973448339
148	4.970217128
149	4.965619393
150	4.961972965
151	4.9568889
152	4.952732728
153	4.949182642
154	4.945729012
155	4.936761947
156	4.933730302
157	4.928398422
158	4.921121015
159	4.916392413
160	4.911695972
161	4.911089167
162	4.909886431
163	4.906821377
164	4.90045358
165	4.898361142
166	4.893981423
167	4.891508667
168	4.888038725
169	4.882883266
170	4.880722856
171	4.876646316
172	4.874685021
173	4.870599493
174	4.868356916
175	4.863346767
176	4.860675876
177	4.856133203
178	4.853590184
179	4.851322144
180	4.849301948
181	4.845908964
182	4.839814135
183	4.833014221
184	4.827611635
185	4.819542378
186	4.816382624
187	4.812362239
188	4.808631423
189	4.804410358
190	4.800140595
191	4.795604101
192	4.791828092
193	4.787904337
194	4.781398679
195	4.779700081
196	4.776796308
197	4.773136676
198	4.770078717
199	4.767771526
200	4.764713907
201	4.763617062
202	4.760570095
203	4.759171352
204	4.75785537
205	4.754398259
206	4.752862065
207	4.749197218
208	4.744069722
209	4.740109523
210	4.734503183
211	4.732638487
212	4.728251136
213	4.724747371
214	4.718499169
215	4.715944951
216	4.713415718
217	4.710433618
218	4.702383709
219	4.701318918
220	4.698928535
221	4.692643154
222	4.691942039
223	4.689203494
224	4.688032546
225	4.687340729
226	4.683664389
227	4.681742599
228	4.678267116
229	4.673303285
230	4.669199395
231	4.666733234
232	4.663757432
233	4.662397581
234	4.661529808
235	4.660903231
236	4.656647328
237	4.655007916
238	4.653548575
239	4.649359369
240	4.645943349
241	4.642938919
242	4.641323948
243	4.636855944
244	4.636402502
245	4.63366872
246	4.627881887
247	4.625241408
248	4.62377092
249	4.623463323
250	4.621590099
251	4.617692465
252	4.616355579
253	4.611960093
254	4.611408871
255	4.608634092
256	4.606749878
257	4.603618808
258	4.599857873
259	4.597022872
260	4.590741743
261	4.585988623
262	4.584730345
263	4.581905522
264	4.581587502
265	4.579128265
266	4.574501698
267	4.574260345
268	4.566977535
269	4.564877976
270	4.559884594
271	4.558064343
272	4.555060508
273	4.550223355
274	4.546298143
275	4.539009092
276	4.533624501
277	4.530327887
278	4.524832882
279	4.523530909
280	4.519847686
281	4.516402255
282	4.509668422
283	4.506496731
284	4.505332567
285	4.500892462
286	4.494415917
287	4.489917223
288	4.483245815
289	4.480054043
290	4.476740689
291	4.474479244
292	4.469826424
293	4.467311784
294	4.465329031
295	4.461787423
296	4.460959456
297	4.457141581
298	4.453512586
299	4.450329292
300	4.443730432
301	4.439900749
302	4.43748714
303	4.435332729
304	4.433055258
305	4.432132692
306	4.429475674
307	4.426283728
308	4.423878902
309	4.420919398
310	4.417526386
311	4.417239771
312	4.413490212
313	4.407424571
314	4.404095521
315	4.401473071
316	4.399784554
317	4.396516641
318	4.392347625
319	4.387091618
320	4.386872623
321	4.382461186
322	4.379657354
323	4.378895719
324	4.376946807
325	4.37661911
326	4.371828551
327	4.369934817
328	4.364249786
329	4.363355807
330	4.363000885
331	4.361169557
332	4.358176357
333	4.355537445
334	4.355140109
335	4.351110028
336	4.347641454
337	4.343281375
338	4.338077394
339	4.335280928
340	4.330847829
341	4.330015379
342	4.329808596
343	4.329252164
344	4.323432595
345	4.32209223
346	4.319666816
347	4.318532911
348	4.318146796
349	4.313650495
350	4.310181016
351	4.306201729
352	4.302052747
353	4.299217123
354	4.297286631
355	4.294203238
356	4.293025046
357	4.288485889
358	4.286206714
359	4.284278401
360	4.280080544
361	4.279856674
362	4.277798081
363	4.274558562
364	4.271428091
365	4.268168919
366	4.267014435
367	4.263824104
368	4.261314556
369	4.258929774
370	4.254168886
371	4.249231992
372	4.247067848
373	4.242828176
374	4.23952334
375	4.237988014
376	4.234277791
377	4.233759465
378	4.231314187
379	4.229820158
380	4.227172012
381	4.226260243
382	4.220843195
383	4.218910224
384	4.21714814
385	4.212621223
386	4.211481034
387	4.20737908
388	4.207232695
389	4.204595339
390	4.201911089
391	4.197612573
392	4.194571237
393	4.192868562
394	4.190679851
395	4.190015081
396	4.188111526
397	4.184612542
398	4.18267513
399	4.179711748
400	4.177503179
401	4.173616128
402	4.169175718
403	4.16714103
404	4.16537735
405	4.163618247
406	4.159804465
407	4.158565491
408	4.155733697
409	4.154982276
410	4.152236144
411	4.147729824
412	4.144662206
413	4.142443422
414	4.14192929
415	4.140116492
416	4.13481711
417	4.130119241
418	4.12751163
419	4.126583701
420	4.12410656
421	4.120590433
422	4.118431045
423	4.118224576
424	4.117748075
425	4.11168586
426	4.108137876
427	4.105256685
428	4.10250012
429	4.099214589
430	4.097044756
431	4.092995911
432	4.092478159
433	4.090547163
434	4.09028059
435	4.088914538
436	4.083892093
437	4.081328576
438	4.078658772
439	4.076443805
440	4.075803931
441	4.072276555
442	4.069976384
443	4.065573317
444	4.061538505
445	4.05854032
446	4.057138019
447	4.054632575
448	4.050850068
449	4.048781369
450	4.044387738
451	4.04089147
452	4.036834562
453	4.032802111
454	4.029049312
455	4.028344161
456	4.026289778
457	4.025930542
458	4.025804574
459	4.024763464
460	4.022288437
461	4.019117335
462	4.018160752
463	4.017698266
464	4.014171561
465	4.013224008
466	4.010904219
467	4.010594171
468	4.010448358
469	4.009461665
470	4.009158189
471	4.006301812
472	4.00569868
473	4.003906877
474	4.00196883
475	4.00171701
476	3.999830591
477	3.997486613
478	3.992689777
479	3.988590059
480	3.983225932
481	3.98044847
482	3.978650172
483	3.977534019
484	3.973279707
485	3.973051401
486	3.971062107
487	3.967522856
488	3.966245227
489	3.96106764
490	3.960857756
491	3.958593683
492	3.955774072
493	3.95544602
494	3.95292261
495	3.952724824
496	3.95146708
497	3.950533108
498	3.943819814
499	3.943704485
500	3.939771145
501	3.939680826
502	3.938133145
503	3.932564734
504	3.930722107
505	3.926376184
506	3.925738791
507	3.922618117
508	3.921432998
509	3.917734471
510	3.916494859
511	3.914822611
512	3.912385665
513	3.909507845
514	3.906473059
515	3.906037799
516	3.903909662
517	3.900528139
518	3.895143305
519	3.892118244
520	3.89157894
521	3.89127155
522	3.887556806
523	3.887412974
524	3.884761414
525	3.880327336
526	3.877491913
527	3.874518619
528	3.871759865
529	3.870041618
530	3.864937134
531	3.86126305
532	3.856602606
533	3.854919587
534	3.850947061
535	3.845058983
536	3.84221103
537	3.841801187
538	3.840012707
539	3.83967819
540	3.836864833
541	3.83250826
542	3.830953336
543	3.829855787
544	3.828173669
545	3.826128718
546	3.825659185
547	3.82063661
548	3.819501623
549	3.815547963
550	3.810614708
551	3.809027002
552	3.806379234
553	3.803800056
554	3.800028926
555	3.796986792
556	3.794342199
557	3.790842291
558	3.790591559
559	3.789604267
560	3.787953126
561	3.783431773
562	3.780468301
563	3.778069863
564	3.774490016
565	3.773032952
566	3.768431668
567	3.767226989
568	3.763375585
569	3.760965134
570	3.759989126
571	3.75740467
572	3.755878193
573	3.755613161
574	3.754212623
575	3.751990825
576	3.748272291
577	3.747699183
578	3.745464361
579	3.744363157
580	3.741116612
581	3.738699883
582	3.735959305
583	3.732959574
584	3.730361143
585	3.729990105
586	3.728404682
587	3.726582516
588	3.723115878
589	3.720310678
590	3.71751035
591	3.715245685
592	3.710248078
593	3.705947897
594	3.705414956
595	3.703084876
596	3.700779636
597	3.698401784
598	3.696950494
599	3.695647658
600	3.69456837
601	3.693617811
602	3.693067339
603	3.691860025
604	3.688745463
605	3.687614742
606	3.682780202
607	3.680523319
608	3.678735801
609	3.678449748
610	3.675035754
611	3.672323665
612	3.669696831
613	3.667845007
614	3.666563397
615	3.664988276
616	3.66451641
617	3.664390343
618	3.660196379
619	3.656782287
620	3.654195347
621	3.652357956
622	3.652098397
623	3.651285332
624	3.651070135
625	3.649514749
626	3.648644076
627	3.647739154
628	3.644804898
629	3.643063784
630	3.642557882
631	3.642441795
632	3.638711507
633	3.6358089
634	3.633310969
635	3.632457665
636	3.628841353
637	3.628125552
638	3.627158629
639	3.626685615
640	3.624682959
641	3.624236785
642	3.622101231
643	3.620045156
644	3.619081322
645	3.618505919
646	3.618065815
647	3.617614619
648	3.617050405
649	3.615794397
650	3.614642159
651	3.613655012
652	3.612503891
653	3.610893582
654	3.60948162
655	3.607219026
656	3.602860617
657	3.600621185
658	3.597135692
659	3.596775616
660	3.596335485
661	3.595738791
662	3.592625069
663	3.58987191
664	3.585974768
665	3.585456163
666	3.58308415
667	3.582770711
668	3.581056584
669	3.57911998
670	3.579006142
671	3.577232768
672	3.574933764
673	3.572092808
674	3.571942845
675	3.568745952
676	3.568189487
677	3.565318447
678	3.563723533
679	3.563184408
680	3.559590788
681	3.558301486
682	3.554924837
683	3.551274961
684	3.549800408
685	3.547509578
686	3.544406478
687	3.543046431
688	3.541907791
689	3.540532141
690	3.538073428
691	3.535873681
692	3.534333433
693	3.53085036
694	3.528751627
695	3.527022421
696	3.526300503
697	3.522660073
698	3.521733058
699	3.516244355
700	3.513785321
701	3.512008712
702	3.509821399
703	3.509480014
704	3.508470151
705	3.50690641
706	3.505516048
707	3.503161369
708	3.501692088
709	3.500491057
710	3.497366148
711	3.494411383
712	3.492586219
713	3.492481018
714	3.491671422
715	3.488246335
716	3.486589413
717	3.483644812
718	3.481541221
719	3.479989043
720	3.477147428
721	3.475123594
722	3.471989984
723	3.469183765
724	3.466083511
725	3.46366777
726	3.462149943
727	3.4598516
728	3.458311454
729	3.456331049
730	3.453272737
731	3.451451305
732	3.450766701
733	3.449273135
734	3.447654521
735	3.445101264
736	3.443935702
737	3.442281025
738	3.440757765
739	3.437140486
740	3.433585649
741	3.433351559
742	3.431624997
743	3.429130407
744	3.42782133
745	3.426149674
746	3.425000965
747	3.423641439
748	3.423252516
749	3.421350238
750	3.420085156
751	3.419051629
752	3.417881959
753	3.417779651
754	3.415626483
755	3.411068345
756	3.407645004
757	3.406040583
758	3.405738074
759	3.404277963
760	3.403274981
761	3.398836889
762	3.395876841
763	3.393125644
764	3.38944449
765	3.385464555
766	3.382466616
767	3.380585588
768	3.379877647
769	3.376944315
770	3.375799636
771	3.374620111
772	3.373790256
773	3.372923245
